order_id,rider_id,status,score,delivery_time,cost,emissions,reason
ORD-1061,R-2017,assigned,0,33.0,11.51,0.7,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1062,R-2013,assigned,0,21.8,13.31,1.01,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1063,R-2013,assigned,0,23.8,19.34,1.59,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1065,R-2013,assigned,0,23.0,11.15,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1070,R-2013,assigned,0,32.3,18.77,1.53,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1073,R-2013,assigned,0,33.5,20.21,1.67,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1076,R-2013,assigned,0,35.4,26.04,2.23,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1079,R-2013,assigned,0,12.3,6.72,0.38,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1082,R-2017,assigned,0,50.8,22.32,1.56,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1085,R-2013,assigned,0,21.7,13.22,1.0,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1086,R-2017,assigned,0,20.3,8.85,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1090,R-2017,assigned,0,29.9,16.53,1.1,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1091,R-2013,assigned,0,14.4,8.09,0.51,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1092,R-2017,assigned,0,34.6,15.59,1.02,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1094,R-2013,assigned,0,35.9,19.49,1.6,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1096,R-2013,assigned,0,50.6,34.75,3.07,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1099,R-2013,assigned,0,25.9,7.53,0.45,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1001,R-2017,assigned,0,36.8,17.92,1.21,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1002,R-2017,assigned,0,28.9,18.74,1.28,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1004,R-2013,assigned,0,36.3,19.95,1.65,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1005,R-2013,assigned,0,23.4,14.1,1.09,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1006,R-2013,assigned,0,16.3,7.91,0.49,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1008,R-2013,assigned,0,17.8,6.17,0.32,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1009,R-2017,assigned,0,27.9,10.02,0.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1012,R-2013,assigned,0,49.5,33.42,2.94,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1013,R-2013,assigned,0,25.4,6.87,0.39,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1014,R-2013,assigned,0,40.7,34.86,3.08,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1015,R-2017,assigned,0,40.0,20.27,1.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1016,R-2013,assigned,0,33.0,22.02,1.85,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1017,R-2017,assigned,0,36.5,16.98,1.14,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1022,R-2017,assigned,0,12.2,4.38,0.13,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1023,R-2017,assigned,0,43.9,23.13,1.63,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1026,R-2013,assigned,0,23.0,19.58,1.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1027,R-2017,assigned,0,11.2,4.41,0.13,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1028,R-2013,assigned,0,27.0,12.43,0.92,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1030,R-2013,assigned,0,45.9,31.44,2.75,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1031,R-2017,assigned,0,26.3,13.21,0.83,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1032,R-2017,assigned,0,28.7,12.75,0.8,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1033,R-2017,assigned,0,36.7,15.67,1.03,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1035,R-2013,assigned,0,45.9,36.28,3.21,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1036,R-2013,assigned,0,53.2,35.47,3.14,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1042,R-2017,assigned,0,38.3,18.31,1.24,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1043,R-2017,assigned,0,31.6,9.76,0.56,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1044,R-2013,assigned,0,14.8,4.92,0.2,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1045,R-2017,assigned,0,23.6,6.85,0.32,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1047,R-2017,assigned,0,44.5,24.3,1.72,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1049,R-2013,assigned,0,32.1,28.11,2.43,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1050,R-2017,assigned,0,46.5,22.07,1.54,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1053,R-2017,assigned,0,32.5,13.35,0.85,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1054,R-2017,assigned,0,34.6,18.52,1.26,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1055,R-2013,assigned,0,48.1,34.17,3.01,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1056,R-2013,assigned,0,34.4,32.03,2.81,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1057,R-2017,assigned,0,45.7,23.01,1.62,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1058,R-2013,assigned,0,16.9,12.23,0.91,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1060,R-2013,assigned,0,38.5,34.59,3.05,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1064,R-2017,assigned,0,32.8,15.04,0.98,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1066,R-2013,assigned,0,39.1,23.34,1.97,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1067,R-2013,assigned,0,23.1,19.7,1.62,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1068,R-2017,assigned,0,33.0,15.21,0.99,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1069,R-2013,assigned,0,38.5,32.18,2.82,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1071,R-2017,assigned,0,38.6,12.68,0.79,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1072,R-2017,assigned,0,20.9,7.79,0.4,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1074,R-2017,assigned,0,41.0,17.34,1.16,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1075,R-2013,assigned,0,39.7,30.03,2.61,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1077,R-2017,assigned,0,30.7,11.29,0.68,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1078,R-2013,assigned,0,47.6,28.76,2.49,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1080,R-2013,assigned,0,31.1,20.91,1.74,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1081,R-2017,assigned,0,29.2,8.75,0.48,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1083,R-2013,assigned,0,13.9,7.48,0.45,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1084,R-2013,assigned,0,32.3,17.56,1.42,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1087,R-2017,assigned,0,34.6,8.31,0.44,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1088,R-2017,assigned,0,35.5,16.28,1.08,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1089,R-2013,assigned,0,35.7,31.2,2.73,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1093,R-2017,assigned,0,50.1,22.51,1.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1095,R-2013,assigned,0,22.9,19.5,1.6,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1097,R-2013,assigned,0,19.3,5.59,0.27,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1098,R-2017,assigned,0,17.0,10.06,0.58,"Eligible capacity, route compatibility, deadline protection, and objective fit."
ORD-1100,R-2013,assigned,0,33.3,19.94,1.65,"Eligible capacity, route compatibility, deadline protection, and objective fit."
